        latitude  mortality  ocean
AL      33.0      219        1
AZ      34.5      160        0
AR      35.0      170        0
CA      37.5      182        1
CO      39.0      149        0
CT      41.8      159        1
DE      39.0      200        1
DC      39.0      177        0
FL      28.0      197        1
GA      33.0      214        1
ID      44.5      116        0
IL      40.0      124        0
IN      40.2      128        0
IA      42.2      128        0
KS      38.5      166        0
KY      37.8      147        0
LA      31.2      190        1
ME      45.2      117        1
MD      39.0      162        1
MA      42.2      143        1
MI      43.5      117        0
MN      46.0      116        0
MS      32.8      207        1
MO      38.5      131        0
MT      47.0      109        0
NE      41.5      122        0
NV      39.0      191        0
NH      43.8      129        1
NJ      40.2      159        1
NM      35.0      141        0
NY      43.0      152        1
NC      35.5      199        1
ND      47.5      115        0
OH      40.2      131        0
OK      35.5      182        0
OR      44.0      136        1
PA      40.8      132        0
RI      41.8      137        1
SC      33.8      178        1
SD      44.8       86        0
TN      36.0      186        0
TX      31.5      229        1
UT      39.5      142        0
VT      44.0      153        1
VA      37.5      166        1
WA      47.5      117        1
WV      38.8      136        0
WI      44.5      110        0
WY      43.0      134        0
